id,query
369,Might flax seeds (ALA) increase prostate cancer risk?
370,Do microgreens have more nutrition?
371,Any update on the scary in vitro avocado data?
372,"What are ""normal"" human vitamin D levels?"
373,What do you think of durian fruit?
374,Are neurotoxins only present in blue-green algae?
375,Nutrition advice to counter the side-effects of glaucoma medications?
376,What are the benefits of reishi mushrooms (Ganoderma lucidum)?
377,"What about gurmar, jamun, bitter melon, and fenugreek?"
378,Is yerba maté tea really bad for you?
379,How did you do the mercury fillings and canned tuna calculation?
382,Is vanilla almond milk healthy?
383,What do you think of Dr. Jenkins' take on paleolithic diets?
385,What's the best diet for atrial fibrillation?
386,My skin is turning orange (carotenoderma)--too many carrots?
388,Does caffeine impair endothelial function in our arteries?
389,What about the oxalic acid in beets?
390,Is hempseed oil beneficial to adults with eczema?
391,What is the healthiest potato?
392,Should we avoid celery to prevent colon cancer?
393,Should we avoid canned tomatoes and non-organic root vegetables?
394,Should we take algae supplements for astaxanthin?
395,What about pepper plus turmeric in V8 juice?
396,How much cinnamon is too much?
397,Sulfite sensitivity from sulphur dioxide in dried fruits?
400,Can tea with meals hinder iron absorption?
401,What are the best sources of vitamin K?
402,"Any resources for vegan pregnancy, infancy, and childhood?"
403,Dairy and ear infections: is there an association?
404,Is moringa (Moringa oleifera) good for you?
405,Is raw milk healthy?
406,Can hibiscus tea cause coughing?
407,Is annatto food coloring safe?
408,What about the INTERHEART study on heart attack risk factors?
409,Is the new vitamin D3 spray a waste of money?
410,Can Indian gooseberries (amla) be cooked without losing the health benefits?
411,How can I preserve the anti-cancer effects of cooked garlic?
412,Given the “brain-eating amoeba” (Naegleria fowleri) in tap water should I sterilize my neti pot water?
413,Does adding baking soda to soaking beans reduce gas?
414,How much fruit is safe to consume?
416,Are GMOs safe and are the nutrients in our crops declining?
417,Does wild rice contain the same levels of arsenic as brown rice?
418,Fresh fruit versus frozen--which is better?
419,What's the best low calorie sweetener?
420,Can Vitamin D supplements help prevent respiratory infections?
421,Second opinion for 8-year-old with anemia?
422,What about getting gas from beans?
423,What is a good source of probiotics?
425,Soy-based (Gardein) vs. mycoprotein-based (Quorn) veggie chicken: which is better?
426,How can I avoid the top 10 leading causes of death?
427,Where does the fat come from in a skinless chicken breast?
428,"In making water alkaline, how much baking soda is too much?"
430,Are krill oil supplements better than fish oil capsules?
431,What is the recommended child requirement for vitamin D?
432,"What is the definition of a ""handful"" serving of nuts?"
433,Could a low-salt diet be bad for your heart?
434,How do you explain never getting Salmonella from eating raw cake batter?
435,What about Semmelweis and medicine's shameful handwashing history?
436,How can we reach out to doctors with this life-saving information?
437,What are the benefits of diet in juvenile rheumatoid arthritis?
438,What is the best diet for kidney stone prevention?
440,What's the right dose of saffron?
441,Is apple cider vinegar good for you?
443,Is the plastic chemical BPA really harmful to your health?
444,Do pine needles from a Douglas Fir or redwood provide a good source of antioxidants?
446,Is titanium dioxide in Daiya cheese harmful as a food additive?
448,"What's the best source of those dates you like? (halawi, bahri, khadrawi)"
450,Are there benefits to drinking aloe vera juice?
453,Are homegrown alfalfa sprouts safe?
454,Is licorice tea also harmful?
455,Can soy suppress thyroid function?
456,Is multivitamin use really associated to an increased risk of breast cancer?
457,How can you believe in any scientific study?
459,Are the nutrients from blended vegetables absorbed better than raw vegetables?
460,What about the pollutants like phthalates in plant foods?
461,Can hot peppers (capsaicin) cause cancer?
462,Is cabbage effective against breast cancer?
463,Is thermography better than mammograms for early breast cancer detection?
464,Does “organic” chicken contain less arsenic?
465,Are there any risks of excess vitamin B12 consumption?
466,How do you achieve a good omega 3 to omega 6 fatty acid ratio?
467,"Isn't regular cocoa powder healthier than alkali-processed ""dutched"" cocoa?"
468,Is vitamin D3 (cholecalciferol) preferable to D2 (ergocalciferol)?
469,Are free-range eggs healthier than conventional eggs?
470,5-alpha pregnanedione
471,A/V ratio
472,abdominal aortic aneurysm
473,abdominal fat
474,abdominal pain
475,Academy of Nutrition and Dietetics
476,acaí berries
477,acarbose
478,accidents
479,acesulfame K
480,acetaldehyde
481,acetaminophen
482,acid/base balance
483,acne
484,acromegaly
485,acrylamide
486,acute myeloid leukemia
487,addiction
488,adenovirus 36
489,ADHD
490,adipocytes
491,adiponectin
492,adolescence
493,Advanced Glycation End-products
495,Adventist Health Studies
496,affordability
497,Africa
498,African Americans
499,African-American
500,agaritine
501,agave nectar
502,Agent Orange
503,aggression
504,aging
505,Ah receptor
506,AIDS
507,air pollution
508,air travel
510,airport scanners
511,Albert Einstein
512,albumin
513,alcohol
514,alfalfa sprouts
515,algae
516,alkaline diet
517,alkaline water
518,alkylphenols
519,allergies
520,Alli
521,allopurinol
523,almond milk
524,almond oil
525,almonds
526,aloe vera
527,alpha waves
528,alpha-carotene
529,alpha-gal
530,ALS
531,alternative medicine
532,aluminum
533,Alzheimer’s disease
534,AMA
535,amalgam fillings
536,amaranth
537,American Academy of Pediatrics
538,American Cancer Society
539,American College of Cardiology
540,American College of Lifestyle Medicine
541,American Dental Association
542,American Diabetes Association
543,American Dietetic Association
544,American Egg Board
545,American Heart Association
546,American Institute for Cancer Research
547,American Meat Institute
548,American Public Health Association
549,amla
550,ammonia
551,amnesia
552,amphetamines
553,amputations
554,amylase
555,anal fissure
556,anal health
557,Ancel Keys
558,anchovies
559,anemia
560,anesthesia
561,aneurysm
562,Angelina Jolie
563,angina
564,angiogenesis
565,angiogram
566,angiography
567,animal fat
568,animal products
569,animal protein
570,animal studies
571,anisakis
572,anise
573,ankylosing spondylitis
576,antacids
577,Antarctica
578,anthocyanins
579,antiangiogenesis
580,antibiotics
581,antidepressants
582,antihistamines
583,antinutrients
584,antioxidants
585,antiperspirant
586,antiseptic
587,anxiety
588,aorta
589,aortic aneurysm
590,apes
591,aphthous ulcers
592,apigen
593,apnea
594,appendicitis
595,apple juice
596,Applebee's
597,apples
598,apricots
599,arachidonic acid
600,areca nuts
601,arginine
602,Aricept
603,Arkansas
604,aromatase
605,aromatherapy
606,arsenic
607,arthritis
608,artichokes
609,artificial colors
610,artificial flavors
611,artificial sweeteners
612,asbestos
613,ascorbic acid
614,Asia
615,Asian markets
616,asparagus
617,aspartame
618,aspirin
619,asthma
620,astrocytes
621,athletes
622,Ativan
623,Atkins diet
624,ATP
625,atrial fibrillation
626,attention deficit
628,Australia
629,autism
630,autoimmune diseases
631,autophagy
632,avian leukosis/sarcoma virus
633,avocado oil
634,avocados
635,Ayurvedic medicine
636,azarcon
637,b12
639,back pain
640,bacon
641,bacterial vaginosis
642,bacteriophages
643,Bacteroidetes
644,bad breath
645,bagels
646,baked beans
647,baking
648,baking soda
649,bamboo shoots
650,bananas
651,barbecuing
653,bargains
655,barley
656,Barrett's esophagus
660,beans
661,beef
662,beef brains
663,beer
664,beet greens
665,beet juice
667,beets
668,beeturia
669,Belgium
670,bell peppers
671,benzene
672,benzodiazepines
673,bergamots
674,bergamottin
675,beriberi
676,berries
677,beta carotene
678,beta glucan
679,beta waves
680,beta-carboline alkaloids
681,betel nuts
682,beverages
683,BHA
684,bibhitaki fruit
685,biblical teachings
686,Big Mac
687,bile acids
688,Bill Gates
689,billberries
690,bio identical hormones
691,bioavailability
692,biogenic amines
693,biomagnification
694,biomarkers
695,bipolar disorder
696,birth control pills
697,birth defects
698,Biscuit Cake Chocolate and Confectionery Association
699,bison
700,black beans
701,black raspberries
702,black tea
703,blackberries
704,bladder cancer
705,bladder disease
706,bladder health
707,bladder infections
708,blindness
709,bloating
710,blood cancer
711,blood clots
712,blood donation
713,blood pressure
714,blood sugar
715,blood thinning
716,blood type diet
717,blood-letting
718,blue-green algae
719,blueberries
720,bluefish
721,BMAA
722,body building
723,body fat
724,body odor
725,boiling
726,bok choy
727,bokhoor
728,bolete mushroom
729,bologna
730,bone cancer
731,bone fractures
732,bone health
733,bone marrow health
734,bone mineral density
735,boron
736,Boston
737,botulism
738,bovine leukemia virus
739,bowel movements
740,BPA
741,BPH
742,Bragg Liquid Aminos
743,brain disease
744,brain health
745,brain parasites
746,brain surgery
747,brain tumors
748,brain waves
749,brains
750,brazil nuts
751,BRCA genes
752,bread
753,breakfast
754,breakfast cereal
755,breast cancer
756,breast cancer survival
757,breast development
758,breast disease
759,breast health
760,breast milk
761,breast pain
762,breastfeeding
763,Brenda Davis
764,brewer's yeast
765,bristle cone pine
766,broad beans
767,broccoli
768,broccoli raab
769,broccoli sprouts
770,Broccomax
771,bronchiolitis obliterans
773,brown rice syrup
774,brown sugar
775,Brussels sprouts
776,BT corn
777,buckwheat
778,Buddhists
779,Burger King
780,burgers
781,burritos
782,Bush administration
783,butcher's warts
784,butter
785,butter flavor
786,buttermilk
787,butternut squash
788,butyrate
789,C-reactive protein
790,C. diff
791,cabbage
792,cadaverine
793,cadavers
795,cadmium
796,caesarean section
797,caffeine
798,cake
799,calcium
801,California
802,California Dried Plum Board
805,California Raison Marketing Board
806,caloric restriction
807,calories
809,Camplyobacter
810,Campylobacter
811,Canada
812,cancer
813,cancer stem cells
814,cancer survival
815,cancer viruses
816,candy
817,canker sores
818,Cannabis
819,cannibalism
820,canola
821,cans
822,cantaloupe
823,canthaxanthines
824,capsaicin
825,caramel color
826,carboxy-methyl cellulose
827,carcinogens
828,cardamom
829,cardiac disease
830,cardiac health
831,cardiovascular disease
832,cardiovascular health
833,carnitine
834,carnitine palmitoyl transferase
836,carob
837,carotid arteries
838,carrageenan
839,carrots
840,cartilage health
841,casein
842,cashews
843,casomorphin
844,CAT scan
845,cataracts
847,catfish
848,cats
850,cauliflower
851,cavities
852,Cayenne pepper
853,CDC
854,celery
855,celery root
856,celiac disease
857,cell death
858,cell phones
859,cellulite
860,Center for Food Safety
861,Center for Science in the Public Interest
863,ceramide
864,cervical cancer
865,cervix health
866,cesium
867,cetuximab
868,chai tea
870,chamomile tea
871,champagne grapes
872,chanterelle mushrooms
873,Cheerios
874,cheese
875,cheese effect
876,cheese fly
877,cheese itch
878,cheese mites
879,cheese puffs
880,chemical sensitivities
881,chemotherapy
882,Chernobyl
883,cherries
884,chervil
885,chestnuts
886,chewing
887,chewing gum
888,chia seeds
889,Chick-fil-A
890,chicken
891,chicken embryo lethal orphan virus
892,chickpeas
893,children
894,chili peppers
895,Chili's
896,China
897,China Study
898,Chinese food
899,chlorella
900,chlorhexidine
901,chlorination
902,chlorophyll
903,chocolate
905,cholera
906,cholesterol
907,choline
908,Chomorro
909,chronic diseases
910,chronic fatigue syndrome
911,ciguatera
912,cilantro
913,cinnamon
914,cirrhosis
915,citric acid
916,citrulline
917,citrus
918,clams
920,Cleveland Clinic
921,cloves
922,cluster headaches
923,Coca-Cola
924,cocaine
925,Cochrane Collaboration
926,cocoa
927,cocoa butter
928,coconut milk
929,coconut oil
930,coconut water
931,coconuts
932,cod
933,cod liver oil
934,coffee
935,cognition
936,cola
937,colchicine
938,cold hands
940,colibacillosis
941,collard greens
942,colon cancer
943,colon disease
945,colon health
946,coma
947,common cold
948,complementary medicine
949,computer eye strain
950,Concord grapes
951,constipation
952,Consumers Union
953,contagious pustular dermatitis
954,convenience
955,cookies
956,cooking methods
957,cooking temperature
958,COPD
959,copper
960,coriander
961,corn
962,corn oil
963,Corn Refiners Association
964,corn syrup
965,Cornell
966,cortisol
967,cosmic rays
968,cost savings
969,cough
970,coumarin
971,cranberries
972,cranberry juice
973,cream
975,creatine
976,cretinism
977,crib death
978,crimini mushrooms
979,Crisco
980,Crohn's disease
981,crowberries
982,cruciferous vegetables
983,cryptoxanthin
984,CSPI
985,CT scan
986,cucumbers
987,cumin
988,cupcakes
989,curcumin
990,currants
991,curry powder
992,cyanopsia
993,cyclamate
994,cycling
995,cysticercosis
996,cytoskeleton
997,Czechoslovakia
998,dairy
999,dandelion
1000,Daniel Fast
1002,dark chocolate
1003,dark meat
1004,DASH diet
1005,date sugar
1006,dates
1007,DDT
1008,deafness
1009,dehydration
1010,deli meat
1011,deli meats
1012,delta waves
1013,dementia
1014,Denmark
1015,dental health
1016,depression
1017,detoxification
1018,DHA
1019,DHEA
1020,Diabeta
1021,diabetes
1022,diacetyl
1023,diacylglycerol
1024,dialysis
1025,diarrhea
1026,dieldrin
1027,dietary guidelines
1028,dietary scoring
1029,digoxin
1030,dioxin
1031,dioxins
1032,dishwashing detergent
1033,diverticulitis
1034,diverticulosis
1035,dizziness
1036,DNA damage
1038,dogs
1039,domoic acid
1040,dopamine
1041,douching
1042,doughnuts
1043,Dow Chemical
1045,Dr. Benjamin Feingold
1046,Dr. Benjamin Spock
1047,Dr. Caldwell Esselstyn
1048,Dr. David Jenkins
1049,Dr. David Spence
1050,Dr. Dean Ornish
1051,Dr. Denis Burkitt
1055,Dr. Joel Fuhrman
1057,Dr. John Harvey Kellogg
1058,Dr. John McDougall
1059,Dr. Neal Barnard
1061,Dr. Richard Fleming
1062,Dr. Roy Swank
1064,Dr. T. Colin Campbell
1065,Dr. Walter Kempner
1066,Dr. Walter Willett
1067,Dr. William Clifford Roberts
1068,Dr. William Roberts
1070,dragon's blood
1071,dressings
1072,dried fruit
1073,drug residues
1074,drug stores
1075,drug testing
1077,dulse
1078,Duncan Hines
1079,Dutched cocoa
1080,dwarfism
1081,dyspepsia
1082,E. coli
1083,E. coli o157:H7
1084,ear health
1085,ear infections
1086,Earl Grey tea
1087,Easter Island
1088,ECMO
1089,Eco-Atkins diet
1090,ecstasy
1091,eczema
1092,edamame
1093,Eden Foods
1094,EEG
1095,Egg Farmers of Canada
1096,Egg McMuffin
1097,Eggbeaters
1098,eggnog
1099,eggplant
1100,eggs
1101,elderly
1102,electroconvulsive therapy
1103,elephant garlic
1104,ellagic acid
1105,emphysema
1106,empty calories
1108,endocannabinoids
1109,endocrine disruptors
1110,endometrial cancer
1111,endometrial health
1112,endometriosis
1113,endorphins
1114,endothelium
1115,endotoxemia
1116,endurance
1117,enemas
1118,energy
1119,energy drinks
1120,energy gels
1121,enoki mushrooms
1123,enzymes
1124,eosinophilia–myalgia syndrome
1125,EPA
1126,EPIC Study
1127,epigenetic changes
1128,epilepsy
1129,erectile dysfunction
1130,ergothioneine
1131,erythritol
1132,esophageal cancer
1133,esophagus
1134,esophagus health
1136,essential tremor
1137,estrogen
1138,ethnicity
1139,Europe
1140,European Food Safety Authority
1141,Evidence-based medicine
1142,evolution
1143,exercise
1144,exotic fruit
1145,ExPEC
1146,Exponent Inc.
